timestamp,ecg,pnum,condition
1671245462.063,642,4,stress
1671245462.705,651,4,stress
1671245463.356,657,4,stress
1671245464.013,652,4,stress
1671245464.665,639,4,stress
1671245465.304,642,4,stress
1671245465.946,639,4,stress
1671245466.585,642,4,stress
1671245467.227,641,4,stress
1671245467.868,638,4,stress
1671245468.506,660,4,stress
1671245469.166,652,4,stress
1671245469.818,674,4,stress
1671245470.492,646,4,stress
1671245471.138,679,4,stress
1671245471.817,638,4,stress
1671245472.455,649,4,stress
1671245473.104,631,4,stress
1671245473.735,616,4,stress
1671245474.351,615,4,stress
1671245474.966,631,4,stress
1671245475.597,667,4,stress
1671245476.264,648,4,stress
1671245476.912,656,4,stress
1671245477.568,644,4,stress
1671245478.212,679,4,stress
1671245478.891,646,4,stress
1671245479.537,658,4,stress
1671245480.195,684,4,stress
1671245480.879,657,4,stress
1671245481.536,688,4,stress
1671245482.224,652,4,stress
1671245482.876,703,4,stress
1671245483.579,658,4,stress
1671245484.237,695,4,stress
1671245484.932,649,4,stress
1671245485.581,650,4,stress
1671245486.231,642,4,stress
1671245486.873,648,4,stress
1671245487.521,634,4,stress
1671245488.155,633,4,stress
1671245488.788,641,4,stress
1671245489.429,636,4,stress
1671245490.065,646,4,stress
1671245490.711,682,4,stress
1671245491.393,677,4,stress
1671245492.07,655,4,stress
1671245492.725,699,4,stress
1671245493.424,676,4,stress
1671245494.1,646,4,stress
1671245494.746,630,4,stress
1671245495.376,625,4,stress
1671245496.001,629,4,stress
1671245496.63,633,4,stress
1671245497.263,653,4,stress
1671245497.916,631,4,stress
1671245498.547,665,4,stress
1671245499.212,613,4,stress
1671245499.825,608,4,stress
1671245500.433,607,4,stress
1671245501.04,612,4,stress
1671245501.652,620,4,stress
1671245502.272,622,4,stress
1671245502.894,617,4,stress
1671245503.511,604,4,stress
1671245504.115,604,4,stress
1671245504.719,607,4,stress
1671245505.326,613,4,stress
1671245505.939,605,4,stress
1671245506.544,606,4,stress
1671245507.15,603,4,stress
1671245507.753,576,4,stress
1671245508.329,576,4,stress
1671245508.905,588,4,stress
1671245509.493,599,4,stress
1671245510.092,618,4,stress
1671245510.71,622,4,stress
1671245511.332,639,4,stress
1671245511.971,644,4,stress
1671245512.615,656,4,stress
1671245513.271,665,4,stress
1671245513.936,638,4,stress
1671245514.574,620,4,stress
1671245515.194,622,4,stress
1671245515.816,618,4,stress
1671245516.434,623,4,stress
1671245517.057,617,4,stress
1671245517.674,613,4,stress
1671245518.287,613,4,stress
1671245518.9,616,4,stress
1671245519.516,606,4,stress
1671245520.122,608,4,stress
1671245520.73,596,4,stress
1671245521.326,587,4,stress
1671245521.913,602,4,stress
1671245522.515,606,4,stress
1671245523.121,628,4,stress
1671245523.749,635,4,stress
1671245524.384,624,4,stress
1671245525.008,606,4,stress
1671245525.614,577,4,stress
1671245526.191,575,4,stress
1671245526.766,580,4,stress
1671245527.346,584,4,stress
1671245527.93,582,4,stress
1671245528.512,598,4,stress
1671245529.11,611,4,stress
1671245529.721,628,4,stress
1671245530.349,631,4,stress
1671245530.98,651,4,stress
1671245531.631,650,4,stress
1671245532.281,655,4,stress
1671245532.936,656,4,stress
1671245533.592,638,4,stress
1671245534.23,613,4,stress
1671245534.843,605,4,stress
1671245535.448,602,4,stress
